ID,回答エリア,施設,回答日時,宿泊数（全行程）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,宿泊目的,交通手段,交通手段（施設）,満足度（交通手段）,満足度理由（交通手段）,一人あたり宿泊費,一人あたり交通費,一人あたり消費額（県内）,訪問回数,情報源,訪問施設（前）,訪問施設（前）自由記入,訪問施設（後）自由記入,一人あたり消費額（施設）,満足度（商品・サービス）,満足度理由（商品・サービス）,満足度（施設）,満足度理由（施設）,不便（施設）,不便理由,NPS,自由意見（施設）,リピート意向,自由意見（県内）,性別,生年,都道府県,市区町村,世帯年収,回答動機,旅全体の総合満足度を教えてください。,"石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。
０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。",今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
2516,金沢,金沢城公園,2024-02-19T17:45:04+09:00,2泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,福井県,夫婦2人,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策","新幹線, 在来線",徒歩,,,"1,000円以上、3,000円未満","1,000円未満","5,000円以上、10,000円未満",初めて,インターネット・アプリ,近江町市場,,,使わない,とても満足,缶バッジがいただけた,とても満足,案内がよかった,感じた,まわりみちしたこと,10,ここしかたべれないもの,また行きたい（1年以内）,よかった！,女性,1983,東京都,板橋区,100万円未満,能登牛が当たる,,,きれいだった
2517,加賀,温泉めい想倶楽部　富士屋旅館,2024-02-19T17:49:37+09:00,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,友人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策","新幹線, 在来線","在来線, 路線バス",どちらでもない,加賀温泉までレンタカーやタクシーを使うことなくたどり着けたので、交通の便は悪くないと感じた。強いて言えば、金沢駅から加賀温泉駅までの北陸本線の本数を増やして欲しいと感じた。,"10,000円以上、20,000円未満","20,000円以上、30,000円未満","10,000円以上、20,000円未満",初めて,観光展・物産展,選択なし/該当施設なし,,,使わない,どちらでもない,,どちらでもない,,感じなかった,,10,,機会があれば行きたい,なし,女性,2002,静岡県,浜松市,900万円以上1000万円未満,能登牛が当たる,,,
2518,金沢,チサンバジェット金沢駅前,2024-02-19T17:57:36+09:00,3泊,3泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,出張など仕事関係,在来線,徒歩,,,"10,000円以上、20,000円未満","1,000円以上、3,000円未満","5,000円以上、10,000円未満",初めて,指定された,選択なし/該当施設なし,いしかわスポーツセンター,いしかわスポーツセンター,"1,000円以上、3,000円未満",とても満足,部屋がちょうどいい,とても満足,駅から近い,感じなかった,,8,利用なし,機会があれば行きたい,特になし,女性,1995,福井県,福井市,900万円以上1000万円未満,能登牛が当たる,,,駅からのちかさ
2519,金沢,金沢駅,2024-02-19T18:28:18+09:00,2泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,福井県,家族❨大学生と社会人❩,新幹線の試乗会　大学生の新居探し,"新幹線, 在来線","在来線, 新幹線　",不満,今回北陸本線の線路トラブルがあり、北陸新幹線の試乗会に間に合うかヒヤヒヤだった❨名古屋発のしらさぎに乗る予定が急遽米原までの移動になったり、それも動くかどうか微妙なところだったため❩,"10,000円以上、20,000円未満","10,000円以上、20,000円未満","5,000円以上、10,000円未満",２～５回目,インターネット・アプリ,選択なし/該当施設なし,福井駅❨北陸新幹線の試乗会❩,武家屋敷跡界隈,"5,000円以上、10,000円未満",とても満足,欲しい商品が見つからなかった際にInformationでの対応　店舗において欲しい商品がなかった際の店員の丁寧な説明,満足,以前来たときに比べると、お店が増えていて金沢料理を楽しむことができた,感じた,食事の際の場所がよくわからなかった❨あんとの上の階に行くエスカレーターがわかりづらかった❩,10,数年ぶりに来たら少しずつお菓子の種類も変わっていたりして、目の保養にもなったが、やはり昔あったお菓子が懐かしいのもある。企業の関係もあるのでしょうが、古き良きものもおいてほしいと思うのはわがままでしょうね（笑）,機会があれば行きたい,金沢でしか食べられないような飲食店❨店の数❩がもう少しあると探すのがラク,女性,1965,静岡県,静岡市,500万円以上600万円未満,"能登牛が当たる, ひゃくまんさんが好き, 動く３Dひゃくまんさんを見たい, 石川県のおすすめ観光スポットが見たい",,,バスに乗車した際、わからないことがあったが地元の人が教えてくれたり❨運転手はもちろんのこと❩宿泊したホテルのスタッフの心づかいが嬉しかった❩
2520,金沢,金沢中央観光案内所,2024-02-19T19:27:01+09:00,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"名所、旧跡の観光, まちあるき、都市散策, 友人・親戚を訪ねる",在来線,"路線バス, 徒歩",満足,不便は感じなかった,"50,000円以上、100,000円未満","40,000円以上、50,000円未満","30,000円以上、40,000円未満",初めて,観光展・物産展,尾山神社,,,使わない,満足,特に不満はない,満足,特に不満はない,感じなかった,,10,,機会があれば行きたい,特になし,男性,1954,島根県,出雲市,100万円未満,なんとなく,,,長期旅程でも観光できる観光地が多く楽しめたため
2521,加賀,小松空港,2024-02-19T20:07:21+09:00,3泊,3泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,親,"地元の美味しいものを食べる, アウトドア（海水浴、釣り、登山など）, 友人・親戚を訪ねる",飛行機,自家用車,,,使わない,使わない,"10,000円以上、20,000円未満",１１回目以上,友人・知人,木場潟公園,イオン新小松　一里野,,使わない,満足,,満足,,感じなかった,,10,小松うどんがほしい,また行きたい（1年以内）,なんでも美味しいから道の駅のように地元のものいっぱい出して欲しい　小松道の駅のうどんが美味しいからPRしたい,女性,1997,千葉県,千葉市,600万円以上700万円未満,能登牛が当たる,,,便利
2522,加賀,小松空港,2024-02-19T20:08:41+09:00,4泊以上,3泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,自分ひとり,友人・親戚を訪ねる,飛行機,自家用車,,,"5,000円以上、10,000円未満","5,000円以上、10,000円未満","5,000円以上、10,000円未満",１１回目以上,インターネット・アプリ,木場潟公園,,,"1,000円未満",満足,能登の商品があった,満足,きれい、混んでいない,感じなかった,,8,定期的に小松市近辺のお店が出店できたり朝マルシェみたいに地元の野菜など販売、購入できると地域活性にも繋がり良いと思う,機会があれば行きたい,ご飯が美味しい！小松うどん大好き！焼きそばも,女性,1975,千葉県,千葉市,200万円以上300万円未満,能登牛が当たる,,,ほどよい田舎感が魅力！ご飯も美味しい
2523,金沢,金沢中央観光案内所,2024-02-19T21:56:13+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",在来線,徒歩,,,"10,000円以上、20,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,加賀温泉,金沢レトロ建築群。武家屋敷,使わない,どちらでもない,,どちらでもない,,感じなかった,,10,,機会があれば行きたい,美味しい料理と美しい景色。温泉。愛知県から割と近い,男性,1970,愛知県,豊川市,600万円以上700万円未満,能登牛が当たる,,,wifiや観光パンフレットがあり座る場所があるところ
2524,金沢,長町武家屋敷休憩館,2024-02-19T21:58:57+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,恋人,"宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）",在来線,徒歩,,,"10,000円以上、20,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",初めて,インターネット・アプリ,尾山神社,,,"1,000円以上、3,000円未満",とても満足,無料で案内してもらえたし、カフェがステキだった。,とても満足,案内してもらえたから,感じなかった,,8,,機会があれば行きたい,十分たくさんあった,女性,2002,兵庫県,神戸市,100万円未満,能登牛が当たる,,,カフェ
2525,金沢,長町武家屋敷休憩館,2024-02-19T22:01:42+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,恋人,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）",在来線,"在来線, 徒歩",満足,金沢駅から意外と近かったから,"10,000円以上、20,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",初めて,インターネット・アプリ,近江町市場,,,使わない,とても満足,ボランティアの方の案内がとても勉強になった,とても満足,,感じなかった,,10,,機会があれば行きたい,景色が綺麗な場所（夜景スポット）,男性,2002,大阪府,豊中市,100万円未満,能登牛が当たる,,,ボランティアの方の案内
2526,金沢,金沢中央観光案内所,2024-02-19T22:59:49+09:00,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,出張など仕事関係,在来線,徒歩,,,"5,000円以上、10,000円未満","10,000円以上、20,000円未満","30,000円以上、40,000円未満",初めて,たまたま前を通ったから,金沢21世紀美術館,,,使わない,どちらでもない,パンフレットは置いてあるが、それ以上でもそれ以下でもない。積極的に利用するメリットが感じられない。,どちらでもない,閉じたかんじがする。,感じなかった,,3,,機会があれば行きたい,地元のものを観光客向けではなく、地元向けの価格で飲食したい。観光客はぼったくられている感じがする。,男性,1973,京都府,京都市,900万円以上1000万円未満,能登牛が当たる,,,近江町市場、金沢21世紀美術館
2527,金沢,金沢城公園,2024-02-19T23:05:39+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"地元の美味しいものを食べる, 名所、旧跡の観光",在来線,路線バス,どちらでもない,,"5,000円以上、10,000円未満","5,000円以上、10,000円未満","10,000円以上、20,000円未満",初めて,インターネット・アプリ,尾山神社,,,"1,000円未満",満足,,どちらでもない,,感じなかった,,5,,機会があれば行きたい,兼六園は若い人、海外観光客が多かった。お抹茶おいしかった,男性,1975,奈良県,葛城市,800万円以上900万円未満,ひゃくまんさんが好き,,,
2528,金沢,ホテルウィングインターナショナルプレミアム金沢駅前,2024-02-19T23:18:47+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,職場の同僚,"地元の美味しいものを食べる, 名所、旧跡の観光, 買い物、アウトレット, まちあるき、都市散策",在来線,レンタカー,とても満足,綺麗なレンタカーだったから,"10,000円以上、20,000円未満","10,000円以上、20,000円未満","20,000円以上、30,000円未満",初めて,友人・知人,選択なし/該当施設なし,金沢駅,,使わない,とても満足,清潔で綺麗だったから。朝ごはんが豪華で美味しかったから。受付のあるロビーのフロアがおしゃれだった。ロビーの階からの景色が綺麗だったから。,とても満足,,感じなかった,,10,,また行きたい（1年以内）,お酒・能登牛・金箔のアクセサリー,女性,1990,大阪府,吹田市,500万円以上600万円未満,能登牛が当たる,,,兼六園　　　お庭が美しかった
2529,金沢,チサンバジェット金沢駅前,2024-02-20T08:02:58+09:00,3泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,富山県,職場の同僚,出張など仕事関係,"新幹線, 在来線",自家用車,,,"5,000円以上、10,000円未満","20,000円以上、30,000円未満","1,000円以上、3,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,仕事のため,仕事のため,"1,000円以上、3,000円未満",とても不満,エアコンも埃だらけで最悪,とても不満,宿泊代に見合わない部屋,感じた,補助電気もつかない、エアコンもつかない,0,このホテルは二度と利用しません,どちらともいえない,特になし,男性,1972,愛知県,豊橋市,900万円以上1000万円未満,能登牛が当たる,,,
2530,金沢,ホテルエコノ金沢駅前,2024-02-20T08:09:14+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,富山県,自分ひとり,出張など仕事関係,新幹線,徒歩,,,"5,000円以上、10,000円未満","1,000円以上、3,000円未満","1,000円以上、3,000円未満",２～５回目,インターネット・アプリ,選択なし/該当施設なし,仕事のため特になし,仕事のため特になし,"30,000円以上、40,000円未満",満足,朝食のチャンピオンカレー,満足,古いけど綺麗にしてる,感じなかった,,9,,また行きたい（1年以内）,海鮮,男性,1969,東京都,品川区,800万円以上900万円未満,なんとなく,,,海鮮が美味しい
2531,金沢,倶利伽羅塾,2024-02-20T10:58:38+09:00,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 友人・親戚を訪ねる",自家用車,自家用車,とても満足,どこに行っても楽しかった,"10,000円以上、20,000円未満","3,000円以上、5,000円未満","5,000円以上、10,000円未満",１１回目以上,"インターネット・アプリ, Instagram, Facebook, ブログ, 友人・知人",近江町市場,,,"1,000円以上、3,000円未満",とても満足,,満足,お風呂のお客さんで自分の場所のようにふるまい小言をいう人がいた。老害,感じなかった,,9,魅力的な商品が多い。スタッフの対応も良い,また行きたい（1年以内）,美味しいご飯とお風呂,女性,1977,富山県,射水市,1000万円以上1200万円未満,能登牛が当たる,,,体調を回復するため長期休み中
2532,金沢,金沢城公園,2024-02-20T12:07:15+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,"宿でのんびり過ごす, 地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, お祭りやイベントへの参加・見物",新幹線,"路線バス, 徒歩",とても満足,,"10,000円以上、20,000円未満","3,000円以上、5,000円未満","20,000円以上、30,000円未満",初めて,"観光展・物産展, 新聞・雑誌・ガイドブック",ひがし茶屋街,,,"3,000円以上、5,000円未満",とても満足,,とても満足,,感じなかった,,10,,また行きたい（1年以内）,特になし,男性,2003,神奈川県,横浜市,1500万円以上,"ひゃくまんさんが好き, ARでひゃくまんさんと写真が撮りたかった",,,
2533,加賀,加賀伝統工芸村　ゆのくにの森,2024-02-20T13:12:34+09:00,3泊,3泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 地元の美味しいものを食べる",新幹線,旅館のバス,とても満足,,"30,000円以上、40,000円未満","3,000円以上、5,000円未満","20,000円以上、30,000円未満",初めて,観光パンフレット・ポスター,選択なし/該当施設なし,,,"5,000円以上、10,000円未満",満足,,満足,,感じなかった,,8,,また行きたい（1年以内）,特になし,女性,1964,茨城県,つくば市,1000万円以上1200万円未満,ひゃくまんさんが好き,,,
2534,加賀,加賀伝統工芸村　ゆのくにの森,2024-02-20T13:13:51+09:00,3泊,3泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 地元の美味しいものを食べる",新幹線,ホテルの送迎バス,満足,,"50,000円以上、100,000円未満","5,000円以上、10,000円未満","10,000円以上、20,000円未満",初めて,観光パンフレット・ポスター,選択なし/該当施設なし,,,"5,000円以上、10,000円未満",満足,,満足,,感じなかった,,8,,機会があれば行きたい,特になし,男性,1966,茨城県,つくば市,600万円以上700万円未満,ひゃくまんさんが好き,,,
2535,加賀,加賀伝統工芸村　ゆのくにの森,2024-02-20T13:32:40+09:00,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"温泉や露天風呂, 地元の美味しいものを食べる",在来線,旅館の送迎バス,満足,便利,"30,000円以上、40,000円未満","1,000円以上、3,000円未満","5,000円以上、10,000円未満",初めて,観光パンフレット・ポスター,選択なし/該当施設なし,,,"5,000円以上、10,000円未満",満足,親切で丁寧,満足,加賀の伝統を満喫出来た。,感じなかった,特になし,8,試食はもっと増やした方が良い。,機会があれば行きたい,特になし,男性,1951,兵庫県,尼崎市,300万円以上400万円未満,能登牛が当たる,,,山代温泉の良さと地元の食材を使った料理の良さ
2536,加賀,加賀伝統工芸村　ゆのくにの森,2024-02-20T13:57:57+09:00,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,親,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, まちあるき、都市散策, 各種体験（手作り、果物狩りなど）",在来線,送迎バス,とても満足,移動が楽だから,"10,000円以上、20,000円未満","5,000円以上、10,000円未満","5,000円以上、10,000円未満",初めて,観光パンフレット・ポスター,選択なし/該当施設なし,,,"1,000円以上、3,000円未満",とても満足,展示物が良かった,とても満足,施設の雰囲気がいい,感じなかった,,10,,また行きたい（1年以内）,蟹、のどぐろ、寒ブリ、能登牛,男性,1988,兵庫県,尼崎市,300万円以上400万円未満,能登牛が当たる,,,美味しいグルメと温泉が素晴らしい
2537,加賀,「里山健康学校」せせらぎの郷,2024-02-20T14:56:30+09:00,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,恋人,"温泉や露天風呂, 地元の美味しいものを食べる",自家用車,自家用車,,,使わない,"5,000円以上、10,000円未満","5,000円以上、10,000円未満",１１回目以上,インターネット・アプリ,木場潟公園,,,"1,000円未満",とても満足,きれいに清掃している,とても満足,食事できるスペースもあり、ゆっくりできる,感じなかった,,10,,また行きたい（1年以内）,特になし,女性,1965,石川県,小松市,400万円以上500万円未満,能登牛が当たる,,,安く施設を利用できる
2538,加賀,温泉めい想倶楽部　富士屋旅館,2024-02-20T16:45:18+09:00,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,恋人,"宿でのんびり過ごす, 地元の美味しいものを食べる",県外から訪れていない（石川県内在住）,自家用車,不満,,"10,000円以上、20,000円未満","1,000円以上、3,000円未満","3,000円以上、5,000円未満",初めて,Instagram,日本自動車博物館,,,"1,000円未満",満足,,満足,,感じなかった,,8,,石川県在住,特になし,男性,2005,石川県,金沢市,900万円以上1000万円未満,能登牛が当たる,,,
2539,加賀,温泉めい想倶楽部　富士屋旅館,2024-02-20T16:46:09+09:00,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,友人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",県外から訪れていない（石川県内在住）,在来線,どちらでもない,,"10,000円以上、20,000円未満","1,000円以上、3,000円未満","3,000円以上、5,000円未満",初めて,"観光展・物産展, TV・ラジオ番組やCM",日本自動車博物館,,,使わない,どちらでもない,,どちらでもない,,感じなかった,,5,,石川県在住,特になし,男性,2005,石川県,能美市,100万円未満,能登牛が当たる,,,
2540,加賀,季がさね,2024-02-20T18:43:20+09:00,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,自分ひとり,"温泉や露天風呂, 地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, まちあるき、都市散策, ラブライブ関連施設の訪問",新幹線,"在来線, 宿泊施設の送迎バス",どちらでもない,運行本数がやや少なかったが、利用したい区間が直通であったため。,"40,000円以上、50,000円未満","20,000円以上、30,000円未満","20,000円以上、30,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,金沢エリアの観光が主な目的であるため。,金沢エリアの観光が主な目的であるため。,"5,000円以上、10,000円未満",満足,主な目的だった温泉が楽しめたうえに食事が期待以上だったため。,満足,食事や温泉以外についても過不足なく楽しめたため。,感じなかった,,9,,また行きたい（1年以内）,特になし,男性,2001,埼玉県,児玉郡上里町,600万円以上700万円未満,なんとなく,,,美味しいものが多く、店員さんのサービスも良かったため、飲食に関する部分を薦めたいと思った。
2541,加賀,小松空港,2024-02-20T18:55:09+09:00,1泊,石川県内には宿泊しない,石川県内には宿泊しない,福井県,自分ひとり,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",飛行機,"タクシー, 路線バス",どちらでもない,京福バスの時間がわかりにくかった。,"50,000円以上、100,000円未満","10,000円以上、20,000円未満","20,000円以上、30,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,あらわ温泉,東尋坊,"10,000円以上、20,000円未満",どちらでもない,飲食が少ない,どちらでもない,飲食エリアを増やしたほうが良い,感じなかった,,6,飲食が少ない,機会があれば行きたい,バリエーションを増やして欲しい,男性,1964,福岡県,福岡市,700万円以上800万円未満,能登牛が当たる,,,食べ物が美味しい
2542,金沢,KOKOHOTEL Premier 金沢香林坊,2024-02-20T20:08:00+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,出張など仕事関係,"新幹線, 在来線",タクシー,満足,道もスムーズでストレスなく目的地に着けたから。,"5,000円以上、10,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,ビジネス目的のみ,ビジネスのみ。,"5,000円以上、10,000円未満",どちらでもない,可もなく不可もなく,どちらでもない,特になし。,感じた,非喫煙者だが喫煙ルームしか空きがなかった。,8,特になし。,また行きたい（1年以内）,海鮮、加賀郷土工芸品。,男性,1978,愛知県,名古屋市,1000万円以上1200万円未満,能登牛が当たる,,,街並みがきれいで食べ物が美味しいから。
2543,金沢,KOKOHOTEL Premier 金沢香林坊,2024-02-20T20:44:14+09:00,4泊以上,3泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,名古屋,自分ひとり,出張など仕事関係,"新幹線, 在来線",在来線,どちらでもない,疲れる,"5,000円以上、10,000円未満","50,000円以上、100,000円未満","40,000円以上、50,000円未満",１１回目以上,観光展・物産展,近江町市場,,,"50,000円以上、100,000円未満",満足,特に無し　,満足,綺麗,感じなかった,,9,金沢はいい街です。,また行きたい（1年以内）,新鮮な食べ物,男性,1964,和歌山県,岩出市,1000万円以上1200万円未満,能登牛が当たる,,,食べ物　魚など
2544,金沢,ＡＢホテル金沢,2024-02-21T07:36:34+09:00,2泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,福井県,友人,"地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策",新幹線,徒歩,,,"3,000円以上、5,000円未満","10,000円以上、20,000円未満","10,000円以上、20,000円未満",２～５回目,インターネット・アプリ,選択なし/該当施設なし,,,"3,000円以上、5,000円未満",満足,大浴場,満足,,感じなかった,,9,,機会があれば行きたい,特になし,女性,1970,神奈川県,平塚市,700万円以上800万円未満,能登牛が当たる,,,友人
2545,金沢,石川県立歴史博物館,2024-02-21T10:49:02+09:00,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,富山県,友人,"テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット",自家用車,自家用車,,,使わない,"1,000円未満","1,000円以上、3,000円未満",初めて,観光展・物産展,選択なし/該当施設なし,そらみそ,,"1,000円以上、3,000円未満",満足,,とても満足,,感じなかった,,9,,また行きたい（1年以内）,美味しいものが食べられること,女性,2001,富山県,射水市,1000万円以上1200万円未満,能登牛が当たる,,,
2546,金沢,金沢城公園,2024-02-21T14:29:16+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,友人,"地元の美味しいものを食べる, 名所、旧跡の観光",新幹線,路線バス,とても満足,路線バスの充実,"5,000円以上、10,000円未満","20,000円以上、30,000円未満","20,000円以上、30,000円未満",初めて,"観光パンフレット・ポスター, 友人・知人",近江町市場,,,"1,000円未満",満足,待合室など充実,とても満足,施設が綺麗,感じなかった,,10,特には。これからも頑張って下さい,また行きたい（1年以内）,なし,女性,1971,東京都,新宿区,300万円以上400万円未満,ひゃくまんさんが好き,,,観光のし易さ
2547,加賀,航空プラザ,2024-02-21T15:45:30+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,自分ひとり,友人・親戚を訪ねる,高速バス,自家用車,,,使わない,"20,000円以上、30,000円未満","3,000円以上、5,000円未満",初めて,グーグルマップ,選択なし/該当施設なし,小松空港,,"1,000円未満",満足,彼氏が楽しんでいたので,どちらでもない,,感じなかった,,2,,また行きたい（1年以内）,特になし,無回答,1976,群馬県,前橋市,200万円以上300万円未満,能登牛が当たる,,,
2548,加賀,航空プラザ,2024-02-21T15:48:14+09:00,日帰り,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）",飛行機,レンタカー,,いろんな飛行機が見れたのと、フライトシュミレーターが出来て良かった。,"10,000円以上、20,000円未満","5,000円以上、10,000円未満","30,000円以上、40,000円未満",初めて,"観光連盟やDMOのHP, 観光協会等の案内所",選択なし/該当施設なし,小松空港の展望デッキ,,"1,000円未満",満足,修復作業中で、入れない箇所があった,とても満足,フライトシュミレーターは難しかったけど、また挑戦したいです,感じなかった,,10,もう少し体験ゲームの案内を分かりやすくして欲しい,また行きたい（1年以内）,特になし,男性,1971,千葉県,千葉市,800万円以上900万円未満,能登牛が当たる,,,無料で見学出来るので
2549,金沢,石川県立歴史博物館,2024-02-21T15:56:34+09:00,1泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"名所、旧跡の観光, まちあるき、都市散策",在来線,徒歩,,,"10,000円以上、20,000円未満","5,000円以上、10,000円未満","10,000円以上、20,000円未満",初めて,"観光展・物産展, 観光協会等の案内所",兼六園,,,"1,000円未満",満足,音声ガイド使った,満足,石川の歴史を簡潔に知ることができた,感じなかった,特にない,7,特にわからない,また行きたい（1年以内）,石川の復興を願う,男性,1964,兵庫県,尼崎市,500万円以上600万円未満,能登牛が当たる,,,歴史を知ると見るものも新鮮
2550,金沢,ＡＢホテル金沢,2024-02-21T16:00:39+09:00,2泊,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,福井県,友人,"温泉や露天風呂, 地元の美味しいものを食べる, まちあるき、都市散策",新幹線,レンタカー,とても満足,宿泊したホテルの下がレンタカー屋さんだった,"5,000円以上、10,000円未満","20,000円以上、30,000円未満","30,000円以上、40,000円未満",初めて,"観光展・物産展, インターネット・アプリ, Instagram, 友人・知人",ひがし茶屋街,,,"40,000円以上、50,000円未満",とても満足,,とても満足,清潔だった,感じなかった,,10,,また行きたい（1年以内）,特になし,女性,1970,神奈川県,秦野市,700万円以上800万円未満,能登牛が当たる,,,
2551,金沢,金沢中央観光案内所,2024-02-21T16:01:47+09:00,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",自家用車,"徒歩, レンタサイクル",とても満足,利用しやすいから,"10,000円以上、20,000円未満","5,000円以上、10,000円未満","20,000円以上、30,000円未満",２～５回目,"観光展・物産展, 新聞・雑誌・ガイドブック, インターネット・アプリ, 観光協会等の案内所",近江町市場,,,"20,000円以上、30,000円未満",満足,食べ物が美味しい、とても満足にならないのは、お値段が高い,満足,,感じなかった,,9,,また行きたい（1年以内）,お得にお酒とお食事が楽しめる場所があればいい,男性,1971,奈良県,奈良市,1000万円以上1200万円未満,"能登牛が当たる, 石川県の雑学を知りたい",,,
