施設,タイムスタンプ,個人情報保護の方針について,全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）,石川県内での宿泊数をお答えください,石川県内での宿泊エリアをお答えください,石川県外での宿泊エリアをお答えください,今回はどなたと石川県を訪れていますか？,今回の石川県の訪問目的は何ですか？（複数選択可）,石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください,次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください,前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。,上記満足度の理由について、具体的に教えてください,今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）,"今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり）
※石川県外からの交通費、石川県内での交通費を含む。","今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり）
※飲食、買い物、体験・観光などの消費額合計
※宿泊費、交通費を除く",これまでに   当施設   には何度訪れたことがありますか。,今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）,"当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(前),"当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください

※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。
※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。",上記名称リストにない場合について、具体的にお答えください。(後),当施設    における、消費総額をお答えください。（予定でも可/１人あたり）,当施設 における、商品・サービスの満足度をお答えください,上記満足度の理由につい具体的に教えてください。(サービス),当施設   における、施設全体の満足度をお答えください。,上記満足度の理由につい具体的に教えてください。(施設全体),当施設   において、不便を感じたり困ったことはありましたか。,上記不便を感じたり、困ったことについて具体的に教えてください,あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。,あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください,今後、再び石川県を訪れたいと思いますか,"あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。

(※必須項目です。無ければ「特になし」とご記入ください)",性別をお答えください,生まれた年をお答えください,お住いの都道府県をお答えください,"お住いの市区町村をお答えください
例：新宿区",世帯年収をお答えください,アンケートに回答しようと思った動機をお答えください,旅全体の総合満足度を教えてください。,"石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。
０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。",今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
いしかわ動物園,2025/09/19 14:39:15,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,福井県,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット",自家用車,自家用車,,,使わない,"3,000円以上 5,000円未満","1,000円以上 3,000円未満",11回目以上,"TV・ラジオ番組やCM, Instagram",選択なし/該当施設なし,いしかわ動物園,選択なし／該当施設なし,イオンモール,"3,000円以上 5,000円未満",とても満足,,とても満足,,感じなかった,,9,,また行きたい（1年以内）,お魚が美味しい,女,1996,福井県,鯖江市,400万円以上 500万円未満,景品が当たる,満足,9,
小松空港,2025/09/19 14:56:13,同意する,4泊以上,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,小学生以下連れの家族,"地元の美味しいものを食べる, 友人・親戚を訪ねる","在来線, 飛行機",路線バス,とても満足,席数も多くゆったりしたバスだった。現金を使わずに乗れて楽だった。,使わない,"20,000円以上 30,000円未満","40,000円以上 50,000円未満",2～5回目,インターネット・アプリ,選択なし/該当施設なし,,選択なし／該当施設なし,,"1,000円未満",満足,フライト用のおやつや飲み物が充実していた,とても満足,赤ちゃんスペースがしっかりあり、特に個室の授乳室が助かった。,感じなかった,,9,コンパクトなお土産があり良かったです。（棒茶を買いました）,また行きたい（1年以内）,子連れで入りやすい飲食店の情報がなかったので、子連れ歓迎のお店のリストがあると助かったと思います,女,1993,東京都,大田区,"1,200万円以上 1,500万円未満","なんとなく, 空港での暇つぶし",とても満足,10,子連れにぴったりな施設が多かったです。（金沢駅、21世紀美術館、近江町市場）
トレインパーク白山,2025/09/19 18:10:17,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,岐阜県,小学生以下連れの家族,"温泉や露天風呂, 地元の美味しいものを食べる",自家用車,自家用車,とても満足,平日なので駐車場が空いていた,"5,000円以上 10,000円未満","3,000円以上 5,000円未満",使わない,2～5回目,インターネット・アプリ,月うさぎの里,,選択なし／該当施設なし,,使わない,満足,無料でも充分楽しめるところ,満足,とても綺麗なところ,感じなかった,,8,持ち込んで食べれるところがいいなと思う,石川県在住,買いもの、ご飯,女,1990,石川県,白山市,400万円以上 500万円未満,景品が当たる,満足,7,食べ物！お寿司
大江戸温泉物語Premium 山中グランドホテル,2025/09/19 20:39:13,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,中学生以上連れの家族,"温泉や露天風呂, 地元の美味しいものを食べる",自家用車,自家用車,,,"20,000円以上 30,000円未満","20,000円以上 30,000円未満","20,000円以上 30,000円未満",6～10回目,"観光展・物産展, 観光パンフレット・ポスター, インターネット・アプリ",木場潟公園,あやとり橋,選択なし／該当施設なし,,"20,000円以上 30,000円未満",とても満足,,とても満足,,感じなかった,,9,,また行きたい（1年以内）,特になし,男,1972,富山県,下新川郡朝日町,600万円以上 700万円未満,景品が当たる,満足,8,
和餐　伸,2025/09/19 20:44:24,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,中学生以上連れの家族,地元の美味しいものを食べる,県外から訪れていない（石川県内在住）,自家用車,,,使わない,"10,000円以上 20,000円未満","1,000円未満",11回目以上,友人・知人,選択なし/該当施設なし,航空プラザ,選択なし／該当施設なし,,"20,000円以上 30,000円未満",とても満足,繊細な調理技法と新鮮な食材がとても良い,とても満足,個室と施設の設備が良い,感じなかった,,9,,石川県在住,小松駅に　新幹線に乗る前に軽く飲める施設が小松駅にあるるとうれしい,男,1964,石川県,小松市,"1,200万円以上 1,500万円未満",石川県のさらなる発展のため,とても満足,9,
トレインパーク白山,2025/09/20 6:26:17,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,小学生以下連れの家族,テーマパーク（遊園地、動物園、博物館など）,県外から訪れていない（石川県内在住）,自家用車,,,使わない,"1,000円未満",使わない,初めて,インターネット・アプリ,選択なし/該当施設なし,,選択なし／該当施設なし,,"1,000円以上 3,000円未満",満足,遊び場がこどもが満足してた,満足,こどもが楽しんでた,感じた,外で遊べる場所が閉館時間の30分前に閉じられて遊べなかった,8,,機会があれば行きたい,おいしいものをたくさん食べれる、これというお土産やアクティビティがない,女,1988,石川県,白山市,"1,000万円以上 1,200万円未満",景品が当たる,満足,9,子連れに薦めたい、遊べるから
法師旅館,2025/09/20 7:49:11,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 花見や紅葉などの自然鑑賞, スポーツ観戦や芸術鑑賞（コンサート等）",飛行機,"タクシー, 路線バス",どちらでもない,飛行機とバスと鉄道の連携が取れていないようでした,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",初めて,友人・知人,選択なし/該当施設なし,,選択なし／該当施設なし,兼六園,"5,000円以上 10,000円未満",とても満足,スタッフが良い　お風呂　お庭が良い,とても満足,,感じなかった,,10,絵付け体験が楽しかった,機会があれば行きたい,古風な雰囲気,男,1968,東京都,品川区,"1,200万円以上 1,500万円未満",景品が当たる,とても満足,10,雰囲気　食事　お風呂
小松市観光交流センター Komatsu九,2025/09/20 8:11:17,同意する,4泊以上,1泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,福井県,自分ひとり,"温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット, まちあるき、都市散策",自家用車,自家用車,,,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","20,000円以上 30,000円未満",初めて,"観光展・物産展, 観光パンフレット・ポスター, X(旧：Twitter), Instagram",選択なし/該当施設なし,,選択なし／該当施設なし,,"1,000円未満",満足,,満足,,感じなかった,,7,,機会があれば行きたい,特になし,男,1984,山口県,岩国市,500万円以上 600万円未満,景品が当たる,満足,7,
法師旅館,2025/09/20 8:49:18,同意する,3泊,3泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,恋人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光",飛行機,"在来線, 送迎バス",満足,早くて快適に移動ができたため,"100,000円以上","30,000円以上 40,000円未満","50,000円以上 100,000円未満",初めて,"インターネット・アプリ, 友人・知人",選択なし/該当施設なし,,選択なし／該当施設なし,兼六園、金沢城、永平寺等,"5,000円以上 10,000円未満",とても満足,接客がよく、食事も美味しく、お風呂も気持ち良い。,満足,部屋が広くて快適である。窓からの景色が工事のため少し残念。,感じなかった,,8,これからいろいろ見る予定です。,機会があれば行きたい,日本酒,男,1977,東京都,杉並区,800万円以上 900万円未満,景品が当たる,満足,9,景色、人柄、食事等
のとや,2025/09/20 9:11:14,同意する,2泊,2泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,親,"温泉や露天風呂, テーマパーク（遊園地、動物園、博物館など）",自家用車,自家用車,,,"30,000円以上 40,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",初めて,"インターネット・アプリ, X(旧：Twitter), Instagram",選択なし/該当施設なし,,選択なし／該当施設なし,,"3,000円以上 5,000円未満",満足,,とても満足,,感じなかった,,9,,また行きたい（1年以内）,日本海の幸,女,1991,岡山県,岡山市,300万円以上 400万円未満,景品が当たる,とても満足,10,
道の駅「こまつ木場潟」,2025/09/20 11:28:11,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,親,出張など仕事関係,自家用車,自家用車,不満,目的のものがなかった,"5,000円以上 10,000円未満","3,000円以上 5,000円未満","3,000円以上 5,000円未満",11回目以上,観光展・物産展,木場潟公園,,選択なし／該当施設なし,,"3,000円以上 5,000円未満",どちらでもない,,どちらでもない,,感じた,,5,,石川県在住,特にぬし,その他,2003,秋田県,新宿市,100万円未満,景品が当たる,満足,6,
ゆのくに天祥,2025/09/20 11:36:49,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,職場の同僚,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 出張など仕事関係",自家用車,自家用車,,,"10,000円以上 20,000円未満",使わない,"1,000円以上 3,000円未満",2～5回目,友人・知人,月うさぎの里,,ゆのくにの森,,"1,000円以上 3,000円未満",とても満足,広くてサービスがとても充実しており、楽しかった。,とても満足,広くてサービスがとても充実しており、楽しかった。,感じなかった,虫がいること,10,カニが美味しかった,石川県在住,野々市のシェアラウンジのような、ボードゲームコーナー,女,1998,石川県,加賀市,400万円以上 500万円未満,景品が当たる,とても満足,10,温泉の質
日本自動車博物館,2025/09/20 12:20:22,同意する,2泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,福井県,小学生以下連れの家族,"温泉や露天風呂, 地元の美味しいものを食べる, テーマパーク（遊園地、動物園、博物館など）",自家用車,自家用車,,,"10,000円以上 20,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",初めて,"インターネット・アプリ, X(旧：Twitter)",日本自動車博物館,,選択なし／該当施設なし,丸八製茶場,"1,000円以上 3,000円未満",とても満足,お茶がおいしい。,とても満足,お庭など高級感がある。いつも愛飲しているお茶が買えるから,感じた,子連れでゆっくりできたらいいなと思う,7,もう少し気軽に食べたり、飲んだりできるスペースがあればいいなと思う,機会があれば行きたい,美味しい海鮮、子連れでも不便しない綺麗な設備,女,1993,滋賀県,守山市,"1,200万円以上 1,500万円未満",景品が当たる,満足,8,滋賀から近くて旅行感を味わえるから
小松空港,2025/09/20 13:22:46,同意する,3泊,3泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,自分ひとり,出張など仕事関係,飛行機,路線バス,どちらでもない,便数が少ない,"5,000円以上 10,000円未満","30,000円以上 40,000円未満","1,000円以上 3,000円未満",11回目以上,"観光展・物産展, インターネット・アプリ, 友人・知人",選択なし/該当施設なし,山中,選択なし／該当施設なし,近江町,"10,000円以上 20,000円未満",満足,地元感がなくなった,満足,,感じなかった,,8,地元のお土産,機会があれば行きたい,温泉巡り,男,1973,福岡県,福岡市,800万円以上 900万円未満,"景品が当たる, ひゃくまんさんが好き, 石川県のおすすめ観光スポットが見たい",満足,9,食と観光
いしかわ動物園,2025/09/20 13:56:47,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,小学生以下連れの家族,テーマパーク（遊園地、動物園、博物館など）,自家用車,自家用車,,,使わない,"1,000円未満",使わない,2～5回目,インターネット・アプリ,選択なし/該当施設なし,,選択なし／該当施設なし,,使わない,満足,,満足,,感じなかった,,8,,また行きたい（1年以内）,とくなし,男,1985,福井県,福井市,500万円以上 600万円未満,景品が当たる,満足,8,
いしかわ動物園,2025/09/20 14:17:22,同意する,日帰り,石川県内には宿泊しない,石川県内には宿泊しない,石川県外には泊まらない,小学生以下連れの家族,テーマパーク（遊園地、動物園、博物館など）,自家用車,自家用車,,,"3,000円以上 5,000円未満","1,000円以上 3,000円未満","1,000円以上 3,000円未満",6～10回目,Instagram,選択なし/該当施設なし,,選択なし／該当施設なし,,"1,000円以上 3,000円未満",満足,歩きやすい,満足,子供が喜ぶ,感じなかった,,8,途中のフードコートやってほしい,また行きたい（1年以内）,子どもと過ごしやすい所,女,1986,福井県,鯖江市,300万円以上 400万円未満,景品が当たる,満足,8,過ごしやすい
日本自動車博物館,2025/09/20 15:02:25,同意する,日帰り,4泊以上,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,中学生以上連れの家族,"テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット",自家用車,"自家用車, 路線バス",とても満足,見た事ない車など拝見でき感激しました。,使わない,使わない,"1,000円以上 3,000円未満",初めて,観光展・物産展,月うさぎの里,,ゆのくにの森,,"3,000円以上 5,000円未満",とても満足,素敵な時間でした✨,満足,,感じなかった,,10,,また行きたい（1年以内）,特になし,女,1980,石川県,金沢市,400万円以上 500万円未満,なんとなく,とても満足,10,
九谷セラミック・ラボラトリー（CERABO KUTANI）,2025/09/20 15:26:10,同意する,3泊,3泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,職場の同僚,地元の美味しいものを食べる,レンタカー,レンタカー,とても満足,渋滞がない,"30,000円以上 40,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,"新聞・雑誌・ガイドブック, インターネット・アプリ",ゆのくにの森,,那谷寺,,"5,000円以上 10,000円未満",とても満足,静かで安心できる,とても満足,落ち着いている,感じなかった,特になし,10,ご飯もお酒も美味しかったです,また行きたい（1年以内）,落ち着いた街並みでとても癒されました！,女,1994,沖縄県,豊見城市,300万円以上 400万円未満,景品が当たる,とても満足,10,温泉
いしかわ動物園,2025/09/20 17:42:56,同意する,日帰り,1泊,石川県内には宿泊しない,日帰り,小学生以下連れの家族,テーマパーク（遊園地、動物園、博物館など）,県外から訪れていない（石川県内在住）,自家用車,,,"1,000円以上 3,000円未満","3,000円以上 5,000円未満","1,000円以上 3,000円未満",11回目以上,"観光展・物産展, 新聞・雑誌・ガイドブック, TV・ラジオ番組やCM, 観光パンフレット・ポスター, インターネット・アプリ, Instagram, Facebook",選択なし/該当施設なし,,選択なし／該当施設なし,,使わない,どちらでもない,,どちらでもない,,感じなかった,,10,,石川県在住,千里浜ドライブウェイ,男,1988,石川県,野々市市,700万円以上 800万円未満,"景品が当たる, 石川県のおすすめ観光スポットが見たい, なんとなく",とても満足,10,
法師旅館,2025/09/20 17:48:42,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる",自家用車,自家用車,とても満足,道もスムーズだったので,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",2～5回目,友人・知人,選択なし/該当施設なし,松井秀喜ミュージアム,選択なし／該当施設なし,,"20,000円以上 30,000円未満",とても満足,良いお風呂でした,とても満足,,感じなかった,,10,,また行きたい（1年以内）,ランチで行ったお店「長沖」さんもとても美味しくて感動しました。また松井秀喜さんのお母さんから我が母の為に松井家のカレーも買えたので満足です。有難うございました。,女,1986,愛知県,名古屋市,"900万円以上 1,000万円未満","景品が当たる, とても良い旅だったことを伝えたかったので",とても満足,10,
小松空港,2025/09/20 18:25:13,同意する,3泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,福井県,友人,"地元の美味しいものを食べる, 名所、旧跡の観光",飛行機,路線バス,満足,ラクだった,"20,000円以上 30,000円未満","40,000円以上 50,000円未満","10,000円以上 20,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,近江市場,選択なし／該当施設なし,,"5,000円以上 10,000円未満",満足,食事が美味しかった,どちらでもない,人が多かった,感じた,人が多かった,10,,機会があれば行きたい,カニ,女,1973,福岡県,福岡市,400万円以上 500万円未満,景品が当たる,とても満足,10,食事が美味しい
変なホテル　小松駅前,2025/09/20 20:53:03,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,中学生以上連れの家族,宿でのんびり過ごす,自家用車,自家用車,,,"5,000円以上 10,000円未満","20,000円以上 30,000円未満","1,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,,選択なし／該当施設なし,,使わない,とても満足,しんちゃんルームがかわいい,とても満足,とても清潔感がある,感じなかった,,10,,また行きたい（1年以内）,特に無し,女,1982,福井県,福井市,"900万円以上 1,000万円未満",景品が当たる,満足,8,
大江戸温泉物語 あわづグランドホテル,2025/09/21 5:17:06,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）, ドライブ・ツーリング",自家用車,自家用車,,,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,福井県の施設をめぐって石川県に入ったため,日本自動車博物館,,"30,000円以上 40,000円未満",満足,食事が美味しかったです,満足,こども村は充実していた。食事は美味しいが部屋内のトイレや風呂の設備が古いです。。,感じた,部屋の風呂やトイレの臭いが少し苦手,8,こども村はとても子供が楽しんでいたのでよかった。,また行きたい（1年以内）,加賀棒茶買って帰りたいです。瀬戸内海側在住なので魚などの日本海側の海産物は期待してました。楽しめるスポットが石川県には,男,1994,兵庫県,加古川市,"1,000万円以上 1,200万円未満","景品が当たる, 石川県のおすすめ観光スポットが見たい, なんとなく",満足,8,関西から出てきているので福井県のスポットを観光して石川県で一泊し、石川県で観光して南下する旅もいいかなと
大江戸温泉物語Premium 山下家,2025/09/21 8:02:14,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,小学生以下連れの家族,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 各種体験（手作り、果物狩りなど）",自家用車,自家用車,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","3,000円以上 5,000円未満",初めて,"観光展・物産展, インターネット・アプリ",ゆのくにの森,,石川県立航空プラザ,,"3,000円以上 5,000円未満",とても満足,,とても満足,,感じなかった,,10,,また行きたい（1年以内）,特記なし,男,1985,岐阜県,大垣市,"1,000万円以上 1,200万円未満",景品が当たる,とても満足,10,
湖畔の宿　森本,2025/09/21 8:14:37,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"テーマパーク（遊園地、動物園、博物館など）, 各種体験（手作り、果物狩りなど）",自家用車,自家用車,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,恐竜博物館,選択なし／該当施設なし,めがねミュージアム,"10,000円以上 20,000円未満",とても満足,,とても満足,,感じなかった,,7,,機会があれば行きたい,特になし,女,1985,大阪府,高槻市,100万円未満,景品が当たる,とても満足,10,
大江戸温泉物語 山代彩朝楽,2025/09/21 8:40:14,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,夫婦2人,"宿でのんびり過ごす, 温泉や露天風呂",自家用車,自家用車,,,"20,000円以上 30,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",11回目以上,インターネット・アプリ,ゆのくにの森,,那谷寺,,"3,000円以上 5,000円未満",満足,朝食の声掛けが良かった,満足,お風呂も部屋も綺麗だった,感じなかった,,8,低い枕があるといいと思う,また行きたい（1年以内）,いい温泉,女,1958,京都府,京都市,200万円以上 300万円未満,景品が当たる,満足,9,温泉がとても良かったから
ゆのくに天祥,2025/09/21 9:04:55,同意する,1泊,石川県内には宿泊しない,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,友人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光",自家用車,自家用車,,,"30,000円以上 40,000円未満","10,000円以上 20,000円未満","3,000円以上 5,000円未満",初めて,友人・知人,選択なし/該当施設なし,ひがし茶屋街,選択なし／該当施設なし,東尋坊,"20,000円以上 30,000円未満",とても満足,ご飯も温泉もとてもいい！！満足感でいっぱい！！,とても満足,温泉の質も施設もとてよい！！サウナまで満喫するには時間が足りない！,感じなかった,強いて言うなら雨漏りが心配,10,ご飯はどれも美味しいし、お皿もたくさんで嬉しかった！作っている方は大変だと思いますが…目で見て楽しいのはうれしいです！,また行きたい（1年以内）,美味しいお魚！！,無回答,1979,東京都,品川区,700万円以上 800万円未満,景品が当たる,とても満足,10,いろんな人におしえたい！加賀まで、足をのばすのがいいと思う
ポイントバケーション加賀山中,2025/09/21 10:10:07,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,福井県,友人,"宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 買い物、アウトレット, こいこい祭",自家用車,徒歩,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","3,000円以上 5,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,加賀山中温泉総湯,月うさぎの里,,"1,000円以上 3,000円未満",満足,,満足,,感じなかった,,8,,また行きたい（1年以内）,特になし,男,1968,愛知県,瀬戸市,700万円以上 800万円未満,景品が当たる,満足,8,
ポイントバケーション加賀山中,2025/09/21 10:11:15,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,友人,"宿でのんびり過ごす, 温泉や露天風呂",自家用車,自家用車,どちらでもない,,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,友人・知人,月うさぎの里,,選択なし／該当施設なし,,"5,000円以上 10,000円未満",満足,,満足,,感じなかった,,8,,機会があれば行きたい,特になし,女,1964,愛知県,瀬戸市,200万円以上 300万円未満,景品が当たる,とても満足,9,
トレインパーク白山,2025/09/21 10:11:33,同意する,3泊,石川県内には宿泊しない,石川県内には宿泊しない,福井県,小学生以下連れの家族,"お祭りやイベントへの参加・見物, 友人・親戚を訪ねる",自家用車,自家用車,,,使わない,"10,000円以上 20,000円未満",使わない,初めて,インターネット・アプリ,選択なし/該当施設なし,,石川県立航空プラザ,,"1,000円以上 3,000円未満",どちらでもない,見学施設が思ったより小規模だった,満足,子供の遊び場は広くて遊びやすかった,感じなかった,,8,,また行きたい（1年以内）,特になし,男,1972,京都府,京都市,"1,500万円以上",景品が当たる,満足,9,トレインパークはのんびりできてよかった
加賀市観光情報センター　KAGA旅・まちネット,2025/09/21 10:31:34,同意する,1泊,1泊,加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）,石川県外には泊まらない,親,宿でのんびり過ごす,新幹線,在来線,満足,,"30,000円以上 40,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,観光展・物産展,ゆのくにの森,,那谷寺,,"3,000円以上 5,000円未満",満足,,満足,,感じなかった,,7,,機会があれば行きたい,特になし,女,1982,兵庫県,赤穂市,100万円未満,景品が当たる,満足,8,
日本自動車博物館,2025/09/21 10:52:05,同意する,1泊,1泊,白山エリア （一里野温泉、白峰温泉、白山市など）,石川県外には泊まらない,小学生以下連れの家族,テーマパーク（遊園地、動物園、博物館など）,自家用車,自家用車,満足,バイパス降りて近かった,"30,000円以上 40,000円未満","10,000円以上 20,000円未満","5,000円以上 10,000円未満",初めて,インターネット・アプリ,選択なし/該当施設なし,トレインパーク白山,選択なし／該当施設なし,帰宅,"1,000円未満",どちらでもない,リーズナブルなお土産がない,どちらでもない,入場料が少し高く感じた,感じなかった,無し,1,リーズナブルなお土産がない,機会があれば行きたい,無し,男,1977,滋賀県,近江八幡市,700万円以上 800万円未満,景品が当たる,満足,2,日本自動車博物館
トレインパーク白山,2025/09/21 10:55:27,同意する,2泊,2泊,金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）,石川県外には泊まらない,小学生以下連れの家族,"地元の美味しいものを食べる, 花見や紅葉などの自然鑑賞, 名所、旧跡の観光, テーマパーク（遊園地、動物園、博物館など）",自家用車,自家用車,とても満足,,"20,000円以上 30,000円未満","50,000円以上 100,000円未満","10,000円以上 20,000円未満",初めて,新聞・雑誌・ガイドブック,石川県立航空プラザ,,選択なし／該当施設なし,,"3,000円以上 5,000円未満",とても満足,,とても満足,,感じなかった,,10,,また行きたい（1年以内）,おもてなし,男,1988,長野県,長野市,800万円以上 900万円未満,景品が当たる,とても満足,10,
